species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valley_types,is_overwintering,edge_case_flags
Least Sandpiper,two-passage-migrant,two-passage,0.123669,0.0,0.0,23,2,summer|winter,No,classic_bimodal
Pectoral Sandpiper,two-passage-migrant,two-passage,0.045045,0.0,0.0,25,2,summer|winter,No,classic_bimodal
Semipalmated Sandpiper,single-season,summer,0.133838,0.0,0.0,19,1,winter,No,
Parasitic Jaeger,vagrant,irregular,0.005952,0.0,0.0,4,1,winter,No,
Pomarine Jaeger,vagrant,irregular,0.000585,0.0,0.0,1,1,winter,No,low_peak_frequency
Little Gull,single-season,summer,0.027318,0.0,0.0,16,1,winter,No,
Black-legged Kittiwake,single-season,winter,0.02378,0.0,0.0,14,1,summer,Yes,overwintering|low_presence
Bonaparte's Gull,two-passage-migrant,two-passage,0.137067,0.0,0.0,41,2,winter|summer,No,classic_bimodal
Laughing Gull,vagrant,irregular,0.01945,0.0,0.0,9,1,winter,No,
Franklin's Gull,single-season,summer,0.005606,0.0,0.0,16,1,winter,No,
Short-billed Gull,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
Ring-billed Gull,resident,year-round,0.394444,0.11857,0.3006,48,0,,No,seasonal_variation
American Herring Gull,resident,year-round,0.264435,0.059165,0.2237,48,0,,No,seasonal_variation
Great Black-backed Gull,single-season,winter,0.140362,0.005071,0.0361,48,2,summer|summer,No,overwintering|two_summer_valleys_merged
Glaucous Gull,single-season,winter,0.02426,0.0,0.0,33,1,summer,Yes,overwintering
Lesser Black-backed Gull,single-season,winter,0.028031,0.0,0.0,47,1,summer,No,overwintering
California Gull,vagrant,irregular,0.001401,0.0,0.0,1,1,winter,No,low_peak_frequency
Iceland Gull,single-season,winter,0.016012,0.0,0.0,25,1,summer,Yes,overwintering
Caspian Tern,single-season,summer,0.078283,0.0,0.0,26,1,winter,No,
Black Tern,single-season,summer,0.006613,0.0,0.0,19,1,winter,No,
Forster's Tern,two-passage-migrant,two-passage,0.050324,0.0,0.0,28,2,summer|winter,No,classic_bimodal
Common Tern,two-passage-migrant,two-passage,0.057513,0.0,0.0,26,2,summer|winter,No,classic_bimodal
Royal Tern,vagrant,irregular,0.010226,0.0,0.0,1,1,winter,No,
Pied-billed Grebe,two-passage-migrant,two-passage,0.107035,0.000833,0.0078,48,2,summer|winter,No,classic_bimodal
Horned Grebe,two-passage-migrant,two-passage,0.067823,0.0,0.0,34,2,winter|summer,Yes,classic_bimodal
Red-necked Grebe,two-passage-migrant,two-passage,0.008192,0.0,0.0,17,2,summer|winter,No,classic_bimodal
Eared Grebe,two-passage-migrant,two-passage,0.010212,0.0,0.0,13,2,winter|summer,No,classic_bimodal|low_presence
Western Grebe,vagrant,irregular,0.007278,0.0,0.0,4,1,summer,Yes,
Red-throated Loon,single-season,winter,0.032994,0.0,0.0,28,1,summer,Yes,overwintering
Common Loon,two-passage-migrant,two-passage,0.05205,0.0,0.0,41,2,winter|summer,No,classic_bimodal
Double-crested Cormorant,single-season,summer,0.296909,0.001652,0.0056,48,1,winter,No,
Neotropic Cormorant,vagrant,irregular,0.001042,0.0,0.0,2,1,winter,No,low_peak_frequency
White-faced Ibis,vagrant,irregular,0.000347,0.0,0.0,2,1,winter,No,low_peak_frequency
American Bittern,single-season,summer,0.022402,0.0,0.0,20,1,winter,No,
Least Bittern,single-season,summer,0.017634,0.0,0.0,20,1,winter,No,
Yellow-crowned Night Heron,vagrant,irregular,0.001358,0.0,0.0,1,1,winter,No,low_peak_frequency
Black-crowned Night Heron,two-passage-migrant,two-passage,0.030664,0.0,0.0,39,2,summer|winter,No,classic_bimodal
Snowy Egret,vagrant,irregular,0.0015,0.0,0.0,5,1,winter,No,low_peak_frequency
Green Heron,single-season,summer,0.185118,0.0,0.0,28,1,winter,No,
Western Cattle-Egret,vagrant,irregular,0.004949,0.0,0.0,8,1,winter,No,low_peak_frequency
Great Egret,two-passage-migrant,two-passage,0.117677,0.0,0.0,35,2,summer|winter,No,classic_bimodal
Great Blue Heron,resident,year-round,0.304546,0.032058,0.1053,48,0,,No,seasonal_variation|min_max_near_boundary
American White Pelican,two-passage-migrant,two-passage,0.020626,0.0,0.0,27,2,summer|winter,No,classic_bimodal
Brown Pelican,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
Turkey Vulture,single-season,summer,0.212758,0.0,0.0,45,1,winter,No,
Osprey,single-season,summer,0.077778,0.0,0.0,32,1,winter,No,
Swallow-tailed Kite,vagrant,irregular,0.009828,0.0,0.0,1,1,winter,No,
Golden Eagle,vagrant,irregular,0.0015,0.0,0.0,10,1,winter,No,low_peak_frequency|low_presence
Sharp-shinned Hawk,single-season,winter,0.035714,0.0,0.0,42,1,summer,No,overwintering
Cooper's Hawk,resident,year-round,0.074118,0.013761,0.1857,48,0,,No,seasonal_variation|min_max_near_boundary
Northern Harrier,two-passage-migrant,two-passage,0.018533,0.0,0.0,45,2,winter|summer,No,classic_bimodal
Bald Eagle,resident,year-round,0.178392,0.03128,0.1753,48,0,,No,seasonal_variation|min_max_near_boundary
Mississippi Kite,vagrant,irregular,0.000241,0.0,0.0,1,1,winter,No,low_peak_frequency
Broad-winged Hawk,two-passage-migrant,two-passage,0.017254,0.0,0.0,26,2,summer|winter,No,classic_bimodal
Red-shouldered Hawk,resident,year-round,0.040936,0.004163,0.1017,48,0,,No,seasonal_variation|min_max_near_boundary
Swainson's Hawk,vagrant,irregular,0.001488,0.0,0.0,2,1,winter,No,low_peak_frequency
Red-tailed Hawk,resident,year-round,0.195741,0.100511,0.5135,48,0,,No,
Rough-legged Hawk,single-season,winter,0.0286,0.0,0.0,29,1,summer,Yes,overwintering
Ferruginous Hawk,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
American Barn Owl,vagrant,irregular,0.0015,0.0,0.0,3,1,winter,No,low_peak_frequency
Eastern Screech-Owl,single-season,winter,0.027231,0.0,0.0,47,1,summer,No,overwintering
Snowy Owl,single-season,winter,0.055227,0.0,0.0,25,1,summer,Yes,overwintering
Great Horned Owl,single-season,winter,0.022393,0.000744,0.0332,48,1,summer,No,overwintering
Barred Owl,resident,year-round,0.018112,0.001678,0.0926,48,0,,No,seasonal_variation|min_max_near_boundary
Long-eared Owl,vagrant,irregular,0.004732,0.0,0.0,10,1,winter,No,low_peak_frequency|low_presence
Short-eared Owl,vagrant,irregular,0.003943,0.0,0.0,21,1,winter,No,low_peak_frequency
Northern Saw-whet Owl,vagrant,irregular,0.003839,0.0,0.0,15,1,winter,Yes,low_peak_frequency
Belted Kingfisher,resident,year-round,0.18001,0.020338,0.113,48,0,,No,seasonal_variation|min_max_near_boundary
Yellow-bellied Sapsucker,two-passage-migrant,two-passage,0.090145,0.0,0.0,36,2,summer|winter,Yes,classic_bimodal
Red-headed Woodpecker,single-season,summer,0.092007,0.004412,0.048,48,1,winter,No,
Red-bellied Woodpecker,resident,year-round,0.419901,0.132547,0.3157,48,0,,No,seasonal_variation
Downy Woodpecker,resident,year-round,0.427426,0.221999,0.5194,48,0,,No,
Hairy Woodpecker,resident,year-round,0.208607,0.079621,0.3817,48,0,,No,seasonal_variation
Pileated Woodpecker,resident,year-round,0.11103,0.033531,0.302,48,0,,No,seasonal_variation
Northern Flicker,single-season,summer,0.355615,0.029645,0.0834,48,1,winter,No,
American Kestrel,single-season,winter,0.09341,0.007969,0.0853,48,1,summer,No,overwintering
Merlin,single-season,winter,0.036664,0.000671,0.0183,48,1,summer,No,overwintering
Peregrine Falcon,resident,year-round,0.019192,0.0015,0.0782,48,0,,No,seasonal_variation|min_max_near_boundary
Olive-sided Flycatcher,two-passage-migrant,two-passage,0.032323,0.0,0.0,12,2,summer|winter,No,classic_bimodal|low_presence
Eastern Wood-Pewee,single-season,summer,0.347334,0.0,0.0,24,1,winter,No,
Yellow-bellied Flycatcher,two-passage-migrant,two-passage,0.02013,0.0,0.0,13,2,summer|winter,No,classic_bimodal|low_presence
Acadian Flycatcher,single-season,summer,0.048941,0.0,0.0,16,1,winter,No,
Alder Flycatcher,two-passage-migrant,two-passage,0.036158,0.0,0.0,14,2,summer|winter,No,classic_bimodal|low_presence
Willow Flycatcher,single-season,summer,0.101899,0.0,0.0,18,1,winter,No,
Least Flycatcher,two-passage-migrant,two-passage,0.109413,0.0,0.0,23,2,summer|winter,No,classic_bimodal
Eastern Phoebe,single-season,summer,0.23835,0.0,0.0,36,1,winter,No,
Great Crested Flycatcher,single-season,summer,0.308985,0.0,0.0,20,1,winter,No,
Eastern Kingbird,single-season,summer,0.239226,0.0,0.0,21,1,winter,No,
Scissor-tailed Flycatcher,vagrant,irregular,0.041642,0.0,0.0,1,1,winter,No,
White-eyed Vireo,vagrant,irregular,0.009117,0.0,0.0,7,1,winter,No,
Yellow-throated Vireo,two-passage-migrant,two-passage,0.069121,0.0,0.0,22,2,summer|winter,No,classic_bimodal
Blue-headed Vireo,two-passage-migrant,two-passage,0.049014,0.0,0.0,22,2,summer|winter,No,classic_bimodal
Philadelphia Vireo,two-passage-migrant,two-passage,0.030506,0.0,0.0,12,2,summer|winter,No,classic_bimodal|low_presence
Eastern Warbling Vireo,single-season,summer,0.318166,0.0,0.0,21,1,winter,No,
Red-eyed Vireo,single-season,summer,0.313733,0.0,0.0,23,1,winter,No,
Loggerhead Shrike,vagrant,irregular,0.00155,0.0,0.0,3,1,winter,No,low_peak_frequency
Northern Shrike,single-season,winter,0.014512,0.0,0.0,25,1,summer,Yes,overwintering
Blue Jay,resident,year-round,0.701136,0.288288,0.4112,48,0,,No,seasonal_variation
American Crow,resident,year-round,0.444922,0.301422,0.6775,48,0,,No,
Fish Crow,vagrant,irregular,0.0015,0.0,0.0,3,1,winter,No,low_peak_frequency
Common Raven,single-season,winter,0.023501,0.000839,0.0357,48,2,summer|summer,No,overwintering|two_summer_valleys_merged
Black-capped Chickadee,resident,year-round,0.501494,0.281199,0.5607,48,0,,No,
Tufted Titmouse,resident,year-round,0.398244,0.216516,0.5437,48,0,,No,
Horned Lark,resident,year-round,0.08782,0.008326,0.0948,48,0,,No,seasonal_variation|min_max_near_boundary
Bank Swallow,single-season,summer,0.109953,0.0,0.0,20,1,winter,No,
Tree Swallow,single-season,summer,0.302422,0.0,0.0,31,1,winter,No,
Purple Martin,single-season,summer,0.170507,0.0,0.0,23,1,winter,No,
Northern Rough-winged Swallow,single-season,summer,0.068182,0.0,0.0,24,1,winter,No,
Barn Swallow,single-season,summer,0.395559,0.0,0.0,28,1,winter,No,
Cliff Swallow,single-season,summer,0.012743,0.0,0.0,19,1,winter,No,
Cave Swallow,vagrant,irregular,0.000839,0.0,0.0,1,1,winter,No,low_peak_frequency
Ruby-crowned Kinglet,two-passage-migrant,two-passage,0.313016,0.0,0.0,30,2,summer|winter,Yes,classic_bimodal
Golden-crowned Kinglet,two-passage-migrant,two-passage,0.254011,0.0,0.0,34,2,winter|summer,Yes,classic_bimodal
White-breasted Nuthatch,resident,year-round,0.334728,0.132901,0.397,48,0,,No,seasonal_variation
Red-breasted Nuthatch,resident,year-round,0.206814,0.020853,0.1008,48,0,,No,seasonal_variation|min_max_near_boundary
Brown Creeper,two-passage-migrant,two-passage,0.222689,0.001704,0.0077,48,2,winter|summer,No,classic_bimodal
Blue-gray Gnatcatcher,two-passage-migrant,two-passage,0.195884,0.0,0.0,25,2,summer|winter,No,classic_bimodal
Northern House Wren,single-season,summer,0.30935,0.0,0.0,28,1,winter,No,
Winter Wren,two-passage-migrant,two-passage,0.062449,0.0,0.0,39,2,winter|summer,Yes,classic_bimodal
Sedge Wren,single-season,summer,0.031261,0.0,0.0,25,1,winter,No,
Marsh Wren,single-season,summer,0.09029,0.0,0.0,34,1,winter,No,
Carolina Wren,resident,year-round,0.036461,0.011261,0.3089,48,0,,No,seasonal_variation
European Starling,resident,year-round,0.332073,0.128205,0.3861,48,0,,No,seasonal_variation
Gray Catbird,single-season,summer,0.472734,0.0,0.0,39,1,winter,No,
Brown Thrasher,single-season,summer,0.107696,0.0,0.0,33,1,winter,No,
Northern Mockingbird,two-passage-migrant,two-passage,0.011137,0.0,0.0,31,2,winter|summer,Yes,classic_bimodal
Eastern Bluebird,resident,year-round,0.178899,0.041302,0.2309,48,0,,No,seasonal_variation
Townsend's Solitaire,vagrant,irregular,0.012825,0.0,0.0,7,1,winter,No,
Varied Thrush,vagrant,irregular,0.026316,0.0,0.0,9,1,winter,No,
Veery,two-passage-migrant,two-passage,0.064953,0.0,0.0,21,2,summer|winter,No,classic_bimodal
Gray-cheeked Thrush,two-passage-migrant,two-passage,0.033345,0.0,0.0,14,2,summer|winter,No,classic_bimodal|low_presence
Swainson's Thrush,two-passage-migrant,two-passage,0.167505,0.0,0.0,16,2,summer|winter,No,classic_bimodal
Hermit Thrush,two-passage-migrant,two-passage,0.115355,0.0,0.0,34,2,summer|winter,Yes,classic_bimodal
Wood Thrush,single-season,summer,0.142063,0.0,0.0,23,1,winter,No,
American Robin,single-season,summer,0.755615,0.06213,0.0822,48,1,winter,No,
Bohemian Waxwing,vagrant,irregular,0.001949,0.0,0.0,14,1,winter,No,low_peak_frequency|low_presence
Cedar Waxwing,single-season,summer,0.317278,0.015041,0.0474,48,1,winter,No,
House Sparrow,resident,year-round,0.427488,0.205047,0.4797,48,0,,No,seasonal_variation
Eurasian Tree Sparrow,vagrant,irregular,0.001294,0.0,0.0,1,1,winter,No,low_peak_frequency
American Pipit,single-season,summer,0.069376,0.0,0.0,21,1,winter,No,
Evening Grosbeak,single-season,summer,0.018423,0.0,0.0,15,1,winter,No,
Pine Grosbeak,vagrant,irregular,0.0015,0.0,0.0,2,1,winter,No,low_peak_frequency
House Finch,resident,year-round,0.326235,0.19406,0.5948,48,0,,No,
Purple Finch,two-passage-migrant,two-passage,0.079179,0.0,0.0,39,2,winter|summer,Yes,classic_bimodal
Redpoll,single-season,winter,0.047436,0.0,0.0,25,1,summer,Yes,overwintering
Red Crossbill,vagrant,irregular,0.00194,0.0,0.0,11,1,winter,No,low_peak_frequency|low_presence
White-winged Crossbill,single-season,summer,0.009056,0.0,0.0,24,1,winter,No,
Pine Siskin,single-season,winter,0.056863,0.0,0.0,43,1,summer,No,overwintering
American Goldfinch,resident,year-round,0.534483,0.164808,0.3084,48,0,,No,seasonal_variation
Lapland Longspur,single-season,winter,0.018614,0.0,0.0,28,1,summer,Yes,overwintering
Snow Bunting,single-season,winter,0.068533,0.0,0.0,25,1,summer,Yes,overwintering
Grasshopper Sparrow,single-season,summer,0.019104,0.0,0.0,15,1,winter,No,
Chipping Sparrow,single-season,summer,0.302422,0.0,0.0,39,1,winter,No,
Clay-colored Sparrow,two-passage-migrant,two-passage,0.007645,0.0,0.0,15,2,summer|winter,No,classic_bimodal
Field Sparrow,single-season,summer,0.088331,0.0,0.0,38,1,winter,No,
Lark Sparrow,vagrant,irregular,0.002656,0.0,0.0,3,1,winter,No,low_peak_frequency
American Tree Sparrow,single-season,winter,0.211132,0.0,0.0,30,1,summer,Yes,overwintering
Fox Sparrow,two-passage-migrant,two-passage,0.098235,0.0,0.0,33,2,winter|summer,Yes,classic_bimodal
Dark-eyed Junco,single-season,winter,0.423729,0.0,0.0,35,1,summer,Yes,overwintering
White-crowned Sparrow,two-passage-migrant,two-passage,0.375367,0.0,0.0,34,2,summer|winter,Yes,classic_bimodal
Harris's Sparrow,vagrant,irregular,0.003386,0.0,0.0,6,1,winter,No,low_peak_frequency
White-throated Sparrow,two-passage-migrant,two-passage,0.380645,0.0,0.0,38,2,summer|winter,Yes,classic_bimodal
Vesper Sparrow,two-passage-migrant,two-passage,0.041329,0.0,0.0,30,2,summer|winter,No,classic_bimodal
LeConte's Sparrow,vagrant,irregular,0.004205,0.0,0.0,4,1,winter,No,low_peak_frequency
Nelson's Sparrow,vagrant,irregular,0.000701,0.0,0.0,1,1,winter,No,low_peak_frequency
Savannah Sparrow,single-season,summer,0.076384,0.0,0.0,30,1,winter,No,
Henslow's Sparrow,vagrant,irregular,0.002557,0.0,0.0,7,1,winter,No,low_peak_frequency
Song Sparrow,single-season,summer,0.547364,0.054464,0.0995,48,1,winter,No,
Lincoln's Sparrow,two-passage-migrant,two-passage,0.093202,0.0,0.0,17,2,summer|winter,No,classic_bimodal
Swamp Sparrow,two-passage-migrant,two-passage,0.228966,0.001379,0.006,48,2,summer|winter,No,classic_bimodal
Green-tailed Towhee,vagrant,irregular,0.0015,0.0,0.0,1,1,winter,No,low_peak_frequency
Spotted Towhee,vagrant,irregular,0.001678,0.0,0.0,2,1,winter,No,low_peak_frequency
Eastern Towhee,single-season,summer,0.109246,0.0,0.0,47,1,winter,No,
Yellow-breasted Chat,vagrant,irregular,0.006209,0.0,0.0,3,1,winter,No,
Yellow-headed Blackbird,vagrant,irregular,0.00416,0.0,0.0,11,1,winter,No,low_peak_frequency|low_presence
Bobolink,single-season,summer,0.038088,0.0,0.0,21,1,winter,No,
Western Meadowlark,vagrant,irregular,0.01448,0.0,0.0,5,1,winter,No,
Eastern Meadowlark,two-passage-migrant,two-passage,0.060778,0.0,0.0,39,2,summer|winter,No,classic_bimodal
Orchard Oriole,single-season,summer,0.048628,0.0,0.0,17,1,winter,No,
Baltimore Oriole,single-season,summer,0.550538,0.0,0.0,26,1,winter,No,
Red-winged Blackbird,single-season,summer,0.670454,0.002941,0.0044,48,1,winter,No,
Brown-headed Cowbird,single-season,summer,0.395676,0.00052,0.0013,48,1,winter,No,
Rusty Blackbird,two-passage-migrant,two-passage,0.063789,0.0,0.0,29,2,summer|winter,No,classic_bimodal
